NFR19,Source,Activity,Profile_ID,SNAP,GNFR
1A3ai(i),Aircraft between UK and Bermuda - TOL,Tyre wear,AVIA_DOM_ALL,8,H_Aviation
1A3ai(i),Aircraft - international take off and landing,Aviation spirit,AVIA_INT_ALL,8,H_Aviation
1A3ai(i),Aircraft - international take off and landing,Aviation turbine fuel,AVIA_INT_ALL,8,H_Aviation
1A3ai(i),Aircraft between UK and CDs - TOL,Aviation spirit,AVIA_DOM_ALL,8,H_Aviation
1A3ai(i),Aircraft between UK and CDs - TOL,Aviation turbine fuel,AVIA_DOM_ALL,8,H_Aviation
1A3ai(i),Aircraft between UK and Gibraltar - TOL,Aviation turbine fuel,AVIA_DOM_ALL,8,H_Aviation
1A3ai(i),Aircraft between UK and other OTs (excl Gib. and Bermuda) - TOL,Aviation turbine fuel,AVIA_DOM_ALL,8,H_Aviation
1A3ai(i),Aircraft between UK and Bermuda - TOL,Aviation turbine fuel,AVIA_DOM_ALL,8,H_Aviation
1A3ai(i),Aircraft between UK and Gibraltar - TOL,Aviation spirit,AVIA_DOM_ALL,8,H_Aviation
1A3ai(i),Aircraft between UK and other OTs (excl Gib. and Bermuda) - TOL,Aviation spirit,AVIA_DOM_ALL,8,H_Aviation
1A3ai(i),Aircraft between UK and Bermuda - TOL,Aviation spirit,AVIA_DOM_ALL,8,H_Aviation
1A3ai(i),Aircraft engines,Lubricants,AVIA_DOM_ALL,8,H_Aviation
1A3aii(i),Aircraft - domestic take off and landing,Brake wear,AVIA_DOM_ALL,8,H_Aviation
1A3aii(i),Aircraft - domestic take off and landing,Tyre wear,AVIA_DOM_ALL,8,H_Aviation
1A3aii(i),Aircraft - domestic take off and landing,Aviation spirit,AVIA_DOM_ALL,8,H_Aviation
1A3aii(i),Aircraft - domestic take off and landing,Aviation turbine fuel,AVIA_DOM_ALL,8,H_Aviation
1A3bi,Road transport - cars - rural driving,Petrol,ROAD_CAT_RUR,7,F_RoadTransport
1A3bi,Road transport - cars - rural driving,DERV,ROAD_CAT_RUR,7,F_RoadTransport
1A3bi,Road transport - cars - urban driving,Petrol,ROAD_CAT_URB,7,F_RoadTransport
1A3bi,Road transport - cars - urban driving,DERV,ROAD_CAT_URB,7,F_RoadTransport
1A3bi,Road transport - cars - motorway driving,Petrol,ROAD_CAT_MOT,7,F_RoadTransport
1A3bi,Road transport - cars - motorway driving,DERV,ROAD_CAT_MOT,7,F_RoadTransport
1A3bi,Road transport - cars - cold start,Petrol,ROAD_CAT_ALL,7,F_RoadTransport
1A3bi,Road transport - cars - cold start,DERV,ROAD_CAT_ALL,7,F_RoadTransport
1A3bii,Road transport - LGVs - rural driving,Petrol,ROAD_LGV_RUR,7,F_RoadTransport
1A3bii,Road transport - LGVs - rural driving,DERV,ROAD_LGV_RUR,7,F_RoadTransport
1A3bii,Road transport - LGVs - urban driving,Petrol,ROAD_LGV_URB,7,F_RoadTransport
1A3bii,Road transport - LGVs - urban driving,DERV,ROAD_LGV_URB,7,F_RoadTransport
1A3bii,Road transport - LGVs - motorway driving,Petrol,ROAD_LGV_MOT,7,F_RoadTransport
1A3bii,Road transport - LGVs - motorway driving,DERV,ROAD_LGV_MOT,7,F_RoadTransport
1A3bii,Road transport - LGVs - cold start,Petrol,ROAD_LGV_ALL,7,F_RoadTransport
1A3bii,Road transport - LGVs - cold start,DERV,ROAD_LGV_ALL,7,F_RoadTransport
1A3biii,Road transport - general,Natural gas,ROAD_CAT_ALL,7,F_RoadTransport
1A3biii,Road transport - buses and coaches - rural driving,DERV,ROAD_BUS_RUR,7,F_RoadTransport
1A3biii,Road transport - HGV articulated - rural driving,DERV,ROAD_HGV_RUR,7,F_RoadTransport
1A3biii,Road transport - HGV rigid - rural driving,DERV,ROAD_HGV_RUR,7,F_RoadTransport
1A3biii,Road transport - buses and coaches - urban driving,DERV,ROAD_BUS_URB,7,F_RoadTransport
1A3biii,Road transport - HGV articulated - urban driving,DERV,ROAD_HGV_URB,7,F_RoadTransport
1A3biii,Road transport - HGV rigid - urban driving,DERV,ROAD_HGV_URB,7,F_RoadTransport
1A3biii,Road transport - buses and coaches - motorway driving,DERV,ROAD_BUS_MOT,7,F_RoadTransport
1A3biii,Road transport - HGV articulated - motorway driving,DERV,ROAD_HGV_MOT,7,F_RoadTransport
1A3biii,Road transport - HGV rigid - motorway driving,DERV,ROAD_HGV_MOT,7,F_RoadTransport
1A3biv,Road transport - motorcycle (>50cc  2st) - rural driving,Petrol,ROAD_CYC_RUR,7,F_RoadTransport
1A3biv,Road transport - motorcycle (>50cc  4st) - rural driving,Petrol,ROAD_CYC_RUR,7,F_RoadTransport
1A3biv,Road transport - mopeds (<50cc 2st) - urban driving,Petrol,ROAD_CYC_URB,7,F_RoadTransport
1A3biv,Road transport - motorcycle (>50cc  2st) - urban driving,Petrol,ROAD_CYC_URB,7,F_RoadTransport
1A3biv,Road transport - motorcycle (>50cc  4st) - urban driving,Petrol,ROAD_CYC_URB,7,F_RoadTransport
1A3biv,Road transport - motorcycle (>50cc  4st) - motorway driving,Petrol,ROAD_CYC_MOT,7,F_RoadTransport
1A3biv,Road transport - mopeds (<50cc 2st) - urban driving,Lubricants,ROAD_CYC_URB,7,F_RoadTransport
