NFR19,SNAP,Source,Activity,Profile_ID
1A3bvi,7,Road transport - HGV rigid - rural driving,Tyre wear,ROAD_HGV_RUR
1A3bvi,7,Road transport - HGV rigid - urban driving,Brake wear,ROAD_HGV_URB
1A3bvi,7,Road transport - HGV rigid - urban driving,Tyre wear,ROAD_HGV_URB
1A3bvi,7,Road transport - LGVs - motorway driving,Brake wear,ROAD_LGV_MOT
1A3bvi,7,Road transport - LGVs - motorway driving,Tyre wear,ROAD_LGV_MOT
1A3bvi,7,Road transport - LGVs - rural driving,Brake wear,ROAD_LGV_RUR
1A3bvi,7,Road transport - LGVs - rural driving,Tyre wear,ROAD_LGV_RUR
1A3bvi,7,Road transport - LGVs - urban driving,Brake wear,ROAD_LGV_URB
1A3bvi,7,Road transport - LGVs - urban driving,Tyre wear,ROAD_LGV_URB
1A3bvi,7,Road transport - mopeds (<50cc 2st) - urban driving,Brake wear,ROAD_CYC_URB
1A3bvi,7,Road transport - mopeds (<50cc 2st) - urban driving,Tyre wear,ROAD_CYC_URB
1A3bvi,7,Road transport - motorcycle (>50cc  2st) - rural driving,Brake wear,ROAD_CYC_RUR
1A3bvi,7,Road transport - motorcycle (>50cc  2st) - rural driving,Tyre wear,ROAD_CYC_RUR
1A3bvi,7,Road transport - motorcycle (>50cc  2st) - urban driving,Brake wear,ROAD_CYC_URB
1A3bvi,7,Road transport - motorcycle (>50cc  2st) - urban driving,Tyre wear,ROAD_CYC_URB
1A3bvi,7,Road transport - motorcycle (>50cc  4st) - motorway driving,Brake wear,ROAD_CYC_MOT
1A3bvi,7,Road transport - motorcycle (>50cc  4st) - motorway driving,Tyre wear,ROAD_CYC_MOT
1A3bvi,7,Road transport - motorcycle (>50cc  4st) - rural driving,Brake wear,ROAD_CYC_RUR
1A3bvi,7,Road transport - motorcycle (>50cc  4st) - rural driving,Tyre wear,ROAD_CYC_RUR
1A3bvi,7,Road transport - motorcycle (>50cc  4st) - urban driving,Brake wear,ROAD_CYC_URB
1A3bvi,7,Road transport - motorcycle (>50cc  4st) - urban driving,Tyre wear,ROAD_CYC_URB
1A3bvii,7,Road transport - buses and coaches - motorway driving,Road abrasion,ROAD_BUS_MOT
1A3bvii,7,Road transport - buses and coaches - rural driving,Road abrasion,ROAD_BUS_RUR
1A3bvii,7,Road transport - buses and coaches - urban driving,Road abrasion,ROAD_BUS_URB
