Profile_ID,longname,SNAP,emission,prop,species
ROAD_LGV_URB,"Road transport, LGVs (urban)",7,1875.28594652797,0.0626161480755954,co2
ROAD_LGV_MOT,"Road transport, LGVs (motorway)",7,1086.92898281759,0.0362927617848214,co2
ROAD_HGV_URB,"Road transport, HGVs (urban)",7,813.270368205304,0.0271552495209178,co2
ROAD_BUS_URB,"Road transport, Buses (urban)",7,575.629653707326,0.019220381670313,co2
ROAD_BUS_RUR,"Road transport, Buses (rural)",7,195.893984480932,0.00654093673665437,co2
ROAD_CAT_ALL,"Road transport, cars and taxis (all roads)",7,109.559339226787,0.00365820680349592,co2
ROAD_CYC_URB,"Road transport, motorcycles (urban)",7,78.3700936629194,0.00261679206767439,co2
ROAD_BUS_MOT,"Road transport, Buses (motorway)",7,59.0419187764389,0.00197142069753022,co2
ROAD_CYC_RUR,"Road transport, motorcycles (rural)",7,55.3347112187181,0.00184763634463673,co2
ROAD_CYC_MOT,"Road transport, motorcycles (motorway)",7,14.1934613983814,0.000473922327563843,co2
OFFR_OTH,Offroad machinery,8,2963.46746494541,0.472752305917497,co2
SHIP_CTP,Shipping (coastal and international),8,1245.4520030179,0.198682898766741,co2
AVIA_DOM_CRU,"Aviation (domestic, cruise)",8,356.968603798639,0.0569460379039675,co2
RAIL_PAS,Railways (passenger),8,349.60340537645,0.0557710918049071,co2
MISC_ANY,Miscellaneous,8,318.166048505067,0.0507559927263109,co2
AVIA_DOM_TOL,"Aviation (domestic, take off and landing)",8,290.415914491036,0.0463291042924626,co2
SHIP_MIS,Shipping (miscellaneous),8,226.532030068666,0.036137916425921,co2
SHIP_FIS,Shipping (fishing),8,210.300942271076,0.0335486238912041,co2
SHIP_MIL,Shipping (military),8,149.720817125059,0.0238844739741481,co2
RAIL_FRE,Railways (freight),8,108.317000906629,0.0172794581193824,co2
SHIP_REC,Shipping (recreational),8,49.5973035095263,0.00791209617745893,co2
MISC_ANY,Miscellaneous,9,66.9649879865956,1,co2
MISC_ANY,Miscellaneous,10,358.092013655409,0.804760810922321,co2
AGRI_SPR_FER,Agricultural spreading (fertilisers),10,86.8749986485406,0.195239189077678,co2
MISC_ANY,Miscellaneous,11,-1769.39576141881,1,co2
